open,close,high,low,value,volume,begin,end,end_time,time_diff
146.15,147.7,147.7,146.05,21930983.249999993,148990,2024-05-31 11:00:00,2024-05-31 11:59:59,11:59:59,0 days 00:00:01
144.6,143.9,145.4,143.55,23984694.399999995,166067,2024-06-03 11:00:00,2024-06-03 11:59:59,11:59:59,0 days 00:00:01
143.9,142.95,144.1,142.65,19993757.15,139134,2024-06-04 11:00:00,2024-06-04 11:59:59,11:59:59,0 days 00:00:01
146.0,146.85,147.0,146.0,4837796.650000006,33004,2024-06-05 11:00:00,2024-06-05 11:59:59,11:59:59,0 days 00:00:01
145.6,145.95,146.15,145.4,19414371.400000002,132962,2024-06-06 11:00:00,2024-06-06 11:59:59,11:59:59,0 days 00:00:01
145.5,145.85,145.85,145.0,8778437.299999995,60422,2024-06-07 11:00:00,2024-06-07 11:59:59,11:59:59,0 days 00:00:01
148.05,147.75,148.1,147.5,6036415.3,40844,2024-06-10 11:00:00,2024-06-10 11:59:59,11:59:59,0 days 00:00:01
144.3,144.4,145.1,144.15,24469420.700000003,169122,2024-06-11 11:00:00,2024-06-11 11:59:59,11:59:59,0 days 00:00:01
141.05,141.95,142.05,140.9,43719475.25,308911,2024-06-13 11:00:00,2024-06-13 11:59:59,11:59:59,0 days 00:00:01
143.8,143.85,144.0,143.65,1392027.4500000004,9678,2024-06-14 11:00:00,2024-06-14 11:59:59,11:59:59,0 days 00:00:01
146.05,145.05,146.1,144.85,12700011.350000001,87426,2024-06-17 11:00:00,2024-06-17 11:59:59,11:59:59,0 days 00:00:01
144.45,144.0,144.45,143.95,3992337.6999999993,27690,2024-06-18 11:00:00,2024-06-18 11:59:59,11:59:59,0 days 00:00:01
140.3,140.25,141.25,140.15,18803519.40000001,133630,2024-06-19 11:00:00,2024-06-19 11:59:59,11:59:59,0 days 00:00:01
139.95,140.0,140.4,139.85,13373859.399999997,95473,2024-06-20 11:00:00,2024-06-20 11:59:59,11:59:59,0 days 00:00:01
